depto,deptodesc,munic,municdesc,sex,urban_rural,cause,year_departure,age_group_emigration,emigrants,depto_name,dept_geo_code,munic_name
01,01,01,0101,female,rural,family_reunification,2014,40-44,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2016,30-34,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2016,5-9,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2018,20-24,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2019,10-14,2,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2019,15-19,2,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2019,20-24,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2019,30-34,2,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2019,5-9,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2020,15-19,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2020,45-49,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2021,15-19,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2021,20-24,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2021,25-29,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2021,40-44,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2021,75-79,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2022,0-4,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2022,10-14,2,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2022,15-19,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2022,20-24,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2022,25-29,2,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2022,5-9,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2023,0-4,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2023,10-14,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2023,15-19,3,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2023,20-24,3,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2023,35-39,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2023,45-49,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2024,0-4,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2024,20-24,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2024,40-44,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,family_reunification,2024,70-74,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,insecurity_violence,2014,35-39,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,insecurity_violence,2016,15-19,3,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,insecurity_violence,2016,20-24,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,insecurity_violence,2017,15-19,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,insecurity_violence,2018,20-24,2,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,insecurity_violence,2018,25-29,2,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,insecurity_violence,2018,30-34,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,insecurity_violence,2018,35-39,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,insecurity_violence,2019,20-24,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,insecurity_violence,2019,25-29,1,Ahuachapán,SVAH,Ahuachapán Centro
01,01,01,0101,female,rural,insecurity_violence,2019,30-34,1,Ahuachapán,SVAH,Ahuachapán Centro
