depto,deptodesc.x,munic,municdesc.x,poblacion_total,poblacion_hombres,poblacion_mujeres,adolescents_out_of_school_count,adolescents_population_13_15,adolescents_out_of_school_rate,adult_literate_count,adult_population_15_plus,adult_literacy_rate,youth_literate_count,youth_population_15_24.x,youth_literacy_rate,primary_completion_count,primary_school_age_population,primary_completion_rate,lower_secondary_completion_count,lower_secondary_age_population,lower_secondary_completion_rate,primary_enrolled_count,primary_age_population,net_primary_enrollment_rate,secondary_enrolled_count,secondary_age_population,net_secondary_enrollment_rate,child_employment_count,child_population_7_14,child_employment_rate,youth_labor_force_count,youth_lfpr_rate,labor_force_count,population_15_plus,lfpr_rate,neet_count,neet_population_15_24,neet_rate,unemployment_count,labor_force_population_15_plus,unemployment_rate,youth_unemployment_count,youth_labor_force_population,youth_unemployment_rate,vulnerable_employment_count,employed_population,vulnerable_employment_rate,total_households,households_with_emigrants,households_with_1_emigrant,households_with_2plus_emigrants,total_emigrants_household,households_receiving_remittances,pct_households_with_emigrants,pct_households_receiving_remittances,depto_name,dept_geo_code,munic_name
01,01,01,0101,180913,85052,95861,678,8803,7.701919800068159,119515,135822,87.99384488521741,30419,31072,97.89842945417095,16415,19309,85.01217049044487,5372,8803,61.024650687265705,18614,19309,96.40064218758091,8088,8803,91.877768942405993,172,25098,0.6853135708024544,12575,40.47052008238929,72777,135822,53.58263020718293,7045,31072,22.67314624098867,4680,72777,6.430603075147368,1650,12575,13.121272365805169,22321,68269,32.69565981631487,54437,2469,1858,611,3340,6946,4.535518121865643,12.759703877877179,Ahuachapán,SVAH,Ahuachapán Centro
01,01,02,0102,65290,30611,34679,171,2990,5.719063545150502,45460,50686,89.68946060056031,10438,10673,97.79818232924201,5552,6371,87.1448752158217,1961,2990,65.58528428093645,6156,6371,96.62533354261497,2808,2990,93.91304347826087,75,8319,0.9015506671474937,4001,37.487117024266844,27568,50686,54.38977232371858,2097,10673,19.647709172678724,1525,27568,5.531775972141613,469,4001,11.722069482629342,7060,26118,27.031166245501186,21294,1165,885,280,1545,3411,5.471024701793932,16.01859678782756,Ahuachapán,SVAH,Ahuachapán Norte
01,01,03,0103,102677,48921,53756,839,5513,15.218574278976963,59299,74075,80.05264934188322,17013,17688,96.18385345997287,10191,11935,85.38751571009635,2841,5513,51.53274079448576,11267,11935,94.40301633850021,4636,5513,84.09214583711228,166,15661,1.0599578570972479,7030,39.74445952057892,32909,74075,44.426594667566654,6215,17688,35.13681592039801,2117,32909,6.43289069859309,765,7030,10.881934566145093,13185,30958,42.5899605917695,31690,2586,1831,755,3723,6951,8.16030293467971,21.934364152729568,Ahuachapán,SVAH,Ahuachapán Sur
02,02,01,0201,250760,115941,134819,813,11210,7.252453166815344,182109,200191,90.96762591724902,37556,38818,96.74893090834149,19105,22181,86.13227537081286,6719,11210,59.93755575379126,21037,22181,94.84243271268203,10213,11210,91.10615521855486,300,29685,1.010611419909045,15835,40.79293111443145,120625,200191,60.25495651652672,5034,38818,12.968210623937349,5275,120625,4.373056994818653,1505,15835,9.504262709188506,34792,115650,30.083873757025508,83388,5145,3801,1344,7180,19368,6.169952511152684,23.226363505540366,Santa Ana,SVSA,Santa Ana Centro
02,02,02,0202,63958,29975,33983,336,3077,10.919727006824829,42735,48725,87.70651616213443,10258,10597,96.80098140983297,5572,6524,85.4077253218884,1703,3077,55.346116347091325,6162,6524,94.45125689760883,2714,3077,88.20279493012674,74,8546,0.8659021764568219,4757,44.89006322544116,27396,48725,56.225756798358134,2040,10597,19.250731339058223,1169,27396,4.26704628412907,422,4757,8.87113727138953,8276,26301,31.466484164100223,20121,1446,1073,373,2002,4662,7.1865215446548385,23.169822573430743,Santa Ana,SVSA,Santa Ana Este
02,02,03,0203,90056,42751,47305,861,4488,19.184491978609625,55256,69421,79.59551144466371,13252,14120,93.85269121813032,7810,9179,85.08552129861641,2276,4488,50.71301247771836,8502,9179,92.62446889639395,3522,4488,78.475935828877,278,12219,2.2751452655700137,6358,45.02832861189802,34888,69421,50.25568631970153,3648,14120,25.835694050991503,1185,34888,3.3965833524421005,393,6358,6.181189053161371,16264,33981,47.86204055207322,30109,3078,2222,856,4322,12475,10.22285695307051,41.43279418114185,Santa Ana,SVSA,Santa Ana Norte
02,02,04,0204,148164,69265,78899,676,7073,9.557472076912202,102258,115570,88.4814398200225,22766,23429,97.17017371633446,12178,14261,85.39373115489798,4223,7073,59.70592393609501,13596,14261,95.33693289390646,6324,7073,89.4104340449597,179,18919,0.946138802262276,9579,40.88522770924922,63976,115570,55.3569265380289,4520,23429,19.292330018353322,3053,63976,4.772102038264349,985,9579,10.282910533458608,19755,61102,32.33118392196655,49267,3130,2333,797,4288,11993,6.353136988247711,24.342866421742748,Santa Ana,SVSA,Santa Ana Oeste
03,03,01,0301,149482,69175,80307,512,7148,7.162842753217683,103359,114641,90.15884369466421,23850,24449,97.55000204507341,12842,15088,85.11399787910922,4160,7148,58.198097369893674,14521,15088,96.24204665959704,6574,7148,91.96978175713487,186,19726,0.9429179762749671,10406,42.56206797824042,66348,114641,57.8745823919889,4403,24449,18.00891652010307,3590,66348,5.4108639295834084,1141,10406,10.964827983855468,19672,62944,31.25317742755465,47601,3454,2503,951,4890,11530,7.256150080880654,24.222180206298187,Sonsonate,SVSO,Sonsonate Centro
03,03,02,0302,166110,78458,87652,767,8295,9.24653405666064,109305,124945,87.4824922966105,27462,28221,97.31051344743277,15177,17527,86.59211502253666,4610,8295,55.575647980711274,16841,17527,96.08603868317454,7485,8295,90.23508137432188,197,22996,0.856670725343538,12345,43.74402041033273,67475,124945,54.00376165512826,6279,28221,22.249388753056234,3755,67475,5.565024082993701,1376,12345,11.146213041717294,19465,63917,30.45355695667819,51827,3217,2364,853,4463,8279,6.20718930287302,15.974299110502248,Sonsonate,SVSO,Sonsonate Este
03,03,03,0303,99556,46643,52913,411,5142,7.992998833138857,63738,74201,85.89911187180766,16643,17108,97.28197334580314,9274,10764,86.15756224451877,3052,5142,59.35433683391676,10318,10764,95.85655890003716,4712,5142,91.63749513807856,110,14158,0.7769458963130386,7055,41.23801730184709,41483,74201,55.90625463268689,3565,17108,20.83820434884265,2307,41483,5.56131427331678,895,7055,12.686038270729979,12371,39286,31.489589166624242,29181,805,626,179,1057,2220,2.758644323361091,7.607689935231829,Sonsonate,SVSO,Sonsonate Norte
03,03,04,0304,55307,26067,29240,280,2758,10.152284263959391,35607,41112,86.60974897840046,8462,8783,96.34521234202437,5157,6102,84.51327433628319,1529,2758,55.43872371283539,5790,6102,94.88692232055064,2465,2758,89.3763596809282,66,7982,0.8268604359809572,3858,43.92576568370716,21622,41112,52.59291690990465,2224,8783,25.32164408516452,1284,21622,5.938396078068634,391,3858,10.134784862623121,6415,20404,31.43991374240345,17891,1423,1046,377,1984,5395,7.953719747359007,30.154826449052596,Sonsonate,SVSO,Sonsonate Oeste
04,04,01,0401,85829,40456,45373,630,4361,14.446227929373997,55316,66367,83.34865219160125,12591,13040,96.55674846625767,7198,8316,86.55603655603656,2521,4361,57.8078422380188,7839,8316,94.26406926406926,3704,4361,84.93464801650997,175,11177,1.5657153082222421,5613,43.04447852760736,32539,66367,49.02888483734386,3295,13040,25.26840490797546,1099,32539,3.377485478963705,341,5613,6.07518261179405,11548,31615,36.5269650482366,28691,4106,2876,1230,5921,12817,14.311108012965738,44.67254539751141,Chalatenango,SVCH,Chalatenango Centro
04,04,02,0402,26806,12607,14199,260,1407,18.47903340440654,16883,20304,83.15110323089047,4068,4233,96.1020552799433,2551,2928,87.1243169398907,793,1407,56.36105188343994,2738,2928,93.51092896174863,1136,1407,80.73916133617627,113,3879,2.9131219386439806,2051,48.45263406567446,10759,20304,52.989558707643816,1004,4233,23.718403023860148,253,10759,2.351519657960777,91,2051,4.436860068259386,4410,10619,41.52933421226104,8381,1301,883,418,1937,3443,15.523207254504236,41.08101658513304,Chalatenango,SVCH,Chalatenango Norte
04,04,03,0403,73295,34619,38676,258,3265,7.9019908116385915,49774,58495,85.09103342165997,9994,10259,97.41690223218637,5522,6434,85.8253030774013,2085,3265,63.85911179173048,6185,6434,96.12993472179049,2972,3265,91.0260336906585,129,8602,1.4996512438967682,3707,36.134126133151376,26273,58495,44.91494999572613,2499,10259,24.359099327419827,1286,26273,4.894758877935523,352,3707,9.495548961424332,8580,25116,34.161490683229815,25631,3927,2767,1160,5635,10096,15.321290624634232,39.38980141235223,Chalatenango,SVCH,Chalatenango Sur
05,05,01,0501,162760,77084,85676,580,7368,7.871878393051031,110075,125902,87.42911153119093,25178,26500,95.01132075471698,13021,15833,82.23962609739152,4328,7368,58.74049945711184,14632,15833,92.4145771489926,6539,7368,88.7486427795874,171,20699,0.8261268660321754,11986,45.23018867924528,70590,125902,56.067417515210245,4532,26500,17.10188679245283,3417,70590,4.840628984275393,1121,11986,9.352578007675621,17039,67344,25.30143739605607,54005,3720,2728,992,5236,13520,6.888251087862235,25.034719007499305,La Libertad,SVLI,La Libertad Centro
05,05,02,0502,85917,41186,44731,566,4514,12.538768276473194,53308,63765,83.60072139888653,14100,14896,94.65628356605801,7774,9210,84.40825190010858,2370,4514,52.503322995126275,8472,9210,91.9869706840391,3820,4514,84.62560921577315,105,12232,0.8584041857423153,6651,44.64957035445757,33845,63765,53.07770720614757,3731,14896,25.046992481203006,1283,33845,3.790811050376717,465,6651,6.991429860171403,10659,32667,32.629258885113416,27161,2201,1544,657,3239,6520,8.10353079783513,24.005007179411656,La Libertad,SVLI,La Libertad Costa
