depto,poblacion_total,poblacion_hombres,poblacion_mujeres,adolescents_out_of_school_count,adolescents_population_13_15,adolescents_out_of_school_rate,adult_literate_count,adult_population_15_plus,adult_literacy_rate,youth_literate_count,youth_population_15_24.x,youth_literacy_rate,primary_completion_count,primary_school_age_population,primary_completion_rate,lower_secondary_completion_count,lower_secondary_age_population,lower_secondary_completion_rate,primary_enrolled_count,primary_age_population,net_primary_enrollment_rate,secondary_enrolled_count,secondary_age_population,net_secondary_enrollment_rate,child_employment_count,child_population_7_14,child_employment_rate,youth_labor_force_count,youth_lfpr_rate,labor_force_count,population_15_plus,lfpr_rate,neet_count,neet_population_15_24,neet_rate,unemployment_count,labor_force_population_15_plus,unemployment_rate,youth_unemployment_count,youth_labor_force_population,youth_unemployment_rate,vulnerable_employment_count,employed_population,vulnerable_employment_rate,total_households,urban_households,rural_households,pct_urban_households,pct_rural_households,households_with_emigrants,households_with_1_emigrant,households_with_2plus_emigrants,total_emigrants_household,households_receiving_remittances,pct_households_with_emigrants,pct_households_receiving_remittances,depto_name,dept_geo_code
01,3015081,1449203,1565878,18117,167437,10.820189086044303,2064999,2208202,93.514950172131,593836,604910,98.16931444347092,273591,322774,84.76240341539281,90588,167437,54.102737148897795,313130,322774,97.01215091674051,149320,167437,89.17981091395569,7215,432907,1.6666397170754919,275580,45.557190325833595,1336435,2208202,60.5214106318172,0,604910,0,45030,1336435,3.369411905554703,21265,275580,7.716452572755642,158141,1298620,12.177619318969368,752843,694241,58602,92.21590690223593,7.784093097764075,21637,15308,6329,32601,45457,2.8740388102167382,6.038045116976581,Guatemala,GT01
02,176632,87172,89460,1884,10467,17.999426769848093,106212,122703,86.5602308012029,34923,36055,96.8603522396339,17648,21588,81.7491198814156,4889,10467,46.7087035444731,20640,21588,95.60867148415787,8583,10467,82.0005732301519,584,28498,2.049266615201067,14160,39.27333240881986,61433,122703,50.06642054391498,0,36055,0,2105,61433,3.426497159507105,1108,14160,7.824858757062147,8556,59912,14.280945386566964,44213,23606,20607,53.39153642593807,46.60846357406193,1434,999,435,2194,3956,3.243389953181191,8.947594598873634,El Progreso,GT02
03,330469,161691,168778,3631,20099,18.065575401761283,211829,235375,89.99638874137015,68046,70266,96.84057723507813,32869,38847,84.61142430560919,9660,20099,48.06209264142495,36706,38847,94.48863490102195,16468,20099,81.93442459823872,1627,51926,3.1333050880098603,33765,48.05311245837247,142208,235375,60.417631439192775,0,70266,0,3237,142208,2.2762432493249323,1576,33765,4.667555160669332,19399,140598,13.797493563208581,76967,68409,8558,88.88094897813349,11.119051021866515,1238,818,420,2076,2869,1.6084815570309354,3.727571556641158,Sacatepéquez,GT03
04,615776,297154,318622,14264,42716,33.39263976027718,342203,406333,84.21737835716026,132270,136989,96.5551978626021,67750,82970,81.65602024828252,15065,42716,35.26781533851484,78001,82970,94.011088345185,28452,42716,66.60736023972282,5894,111027,5.308618624298594,64496,47.081152501295726,214820,406333,52.86796789825094,0,136989,0,3173,214820,1.477050553952146,1589,64496,2.463718680228231,50057,217541,23.01037505573662,126803,71955,54848,56.74550286665142,43.25449713334858,7482,5388,2094,10703,9738,5.900491313297004,7.679629030858892,Chimaltenango,GT04
05,733181,365507,367674,8646,44942,19.238129144230342,436852,503903,86.69366921808364,149722,155228,96.4529595176128,72442,89099,81.30506515224637,18835,44942,41.90957233767968,82789,89099,92.917990100899,36296,44942,80.76187085576966,1544,119106,1.2963242825718269,58842,37.90682093436751,245948,503903,48.8086000678702,0,155228,0,12749,245948,5.18361604892091,5410,58842,9.19411304850277,29931,234743,12.750539952203047,184274,113547,70727,61.618568001997026,38.381431998002974,4134,2860,1274,6305,10122,2.24339841757383,5.492907301084255,Escuintla,GT05
06,396607,195584,201023,4712,25210,18.690995636652122,231159,270166,85.56183975777856,81099,83697,96.89594609125776,39610,49481,80.05092863927568,10127,25210,40.17056723522412,47030,49481,95.04658353711525,20498,25210,81.30900436334788,1417,66154,2.1419717628563655,33518,40.046835609400574,134232,270166,49.68500847627015,0,83697,0,4011,134232,2.98811013767209,2090,33518,6.23545557610836,15810,131638,12.010209817833756,98292,46104,52188,46.90513978757173,53.09486021242827,5344,3797,1547,7835,9098,5.436861596060717,9.256094087006064,Santa Rosa,GT06
07,421583,201265,220318,9272,29872,31.039100160685592,203077,282335,71.92767457098836,89285,94563,94.41853579095418,43994,56314,78.12266931846432,11154,29872,37.339314408141405,53273,56314,94.59992186667614,20600,29872,68.96089983931441,3240,76122,4.25632537242847,40117,42.42356947220372,141334,282335,50.05897249721076,0,94563,0,1904,141334,1.3471634567761472,1079,40117,2.6896328239898297,31079,142670,21.78383682624238,85607,52892,32715,61.784667141705704,38.215332858294296,8559,6235,2324,11996,8603,9.998014181083322,10.04941184716203,Sololá,GT07
08,418569,196293,222276,12288,29649,41.44490539309926,197042,274247,71.84837026476133,87194,93612,93.14404136221852,47159,56924,82.84554845056567,9260,29649,31.232082026375256,52539,56924,92.2967465392453,17361,29649,58.55509460690074,4611,76572,6.02178341952672,46359,49.52249711575439,138202,274247,50.393258631817304,0,93612,0,2058,138202,1.4891246146944328,1139,46359,2.456912357902457,27301,140755,19.396113814784556,77530,41917,35613,54.065523023345804,45.934476976654196,5403,3682,1721,8282,6490,6.96891525860957,8.37095317941442,Totonicapán,GT08
09,799101,377782,421319,12722,51636,24.637849562320863,458551,548868,83.54485960194437,165397,171635,96.3655431584467,82358,98177,83.88726483799668,23842,51636,46.17321248741188,92807,98177,94.53028713446123,38914,51636,75.36215043767913,3725,131690,2.8286126509226213,69008,40.20625163865179,271906,548868,49.539415670070035,0,171635,0,5450,271906,2.004369156988077,2595,69008,3.760433572919082,43796,270181,16.209874121422306,174830,111137,63693,63.568609506377626,36.431390493622374,17018,11695,5323,25542,21674,9.734027340845392,12.39718583767088,Quetzaltenango,GT09
10,554695,272317,282378,9534,37199,25.629721229065296,294002,364761,80.60127042090575,114108,120043,95.05593828877986,57220,73910,77.41848193749155,13093,37199,35.19718271996559,67873,73910,91.83195778649709,27665,37199,74.3702787709347,1909,98803,1.9321275669767113,47803,39.821563939588316,178520,364761,48.941635756015586,0,120043,0,5888,178520,3.29822989020838,2959,47803,6.189988076062172,32722,174541,18.747457617407946,124226,61919,62307,49.84383301402283,50.15616698597717,4864,3504,1360,7036,9316,3.915444431922464,7.49923526475939,Suchitepéquez,GT10
